Month and year,Ad unit,Impressions,Viewability,Ad requests
06/2021,APP_MMTelediarioCR,159,"0,79",67200
06/2021,Default,132608,"0,47",45684
06/2021,MMBajio,253,"0,41",470
06/2021,MMCostaRica,28894,"0,41",46718
06/2021,MMDigital,5054971,"0,50",6422668
06/2021,MMDigital_App,0,"0,00",600
06/2021,MMLaguna,153356,"0,38",28284
06/2021,MMLaguna_App,4035,"0,71",752
06/2021,MMPuebla,544043,"0,24",90346
06/2021,MMRadio,179397,"0,46",27579
06/2021,MMTelediarioBajio,97926,"0,31",16139
06/2021,MMTelediarioCR,110099,"0,36",18822
06/2021,MMTelediarioGDL,200709,"0,35",28804
06/2021,MMTelediarioJuarez,432,"0,87",47600
06/2021,MMTelediarioLaguna,3104429,"0,33",7515985
06/2021,MMTelediarioMty,13272196,"0,37",21643844
06/2021,MMTelediarioMx,1545385,"0,43",3005317
06/2021,MMTelediarioSaltillo,3752,"0,56",537
06/2021,Multimedios_APP,196756,"0,74",37361
06/2021,Multimedios_Radio,29044,"0,88",3061
06/2021,Telediario_APP,3428,"0,74",7522
07/2021,AMP_MMTelediarioCR,3006,"0,66",5648
07/2021,APP_MMTelediarioCR,4457,"0,79",873
07/2021,Default,447015,"0,46",1360074
07/2021,MMBajio,8998,"0,47",1913
07/2021,MMCostaRica,6781,"0,42",1020
07/2021,MMDigital,16033983,"0,54",20508926
07/2021,MMDigital_App,4,"1,00",2800
07/2021,MMLaguna,421968,"0,41",73826
07/2021,MMLaguna_App,9496,"0,74",1787
07/2021,MMPuebla,482353,"0,32",70034
07/2021,MMRadio,330355,"0,46",51939
07/2021,MMTelediarioBajio,240863,"0,34",35227
07/2021,MMTelediarioCR,3004393,"0,27",4646024
07/2021,MMTelediarioGDL,646804,"0,35",97880
07/2021,MMTelediarioJuarez,910,"0,87",110
07/2021,MMTelediarioLaguna,16636766,"0,36",40211323
07/2021,MMTelediarioMty,30320033,"0,37",48312130
07/2021,MMTelediarioMx,3318013,"0,41",6165887
07/2021,MMTelediarioSaltillo,13782,"0,54",2073
07/2021,Multimedios_APP,492458,"0,73",96800
07/2021,Multimedios_Radio,84752,"0,89",8881
07/2021,Telediario_APP,88904,"0,73",19955
08/2021,AMP_MMTelediarioCR,23486,"0,70",4463
08/2021,APP_MMTelediarioCR,3642,"0,78",763
08/2021,Default,233258,"0,44",67776
08/2021,MMBajio,9849,"0,41",1622
08/2021,MMCostaRica,797,"0,16",268
08/2021,MMDigital,12244085,"0,57",15375252
08/2021,MMDigital_App,2,"1,00",5700
08/2021,MMLaguna,632188,"0,33",1088748
08/2021,MMLaguna_App,11987,"0,80",1537
08/2021,MMPuebla,781465,"0,33",1116679
08/2021,MMRadio,342564,"0,45",52023
08/2021,MMTelediarioBajio,284473,"0,30",40429
08/2021,MMTelediarioCR,2797812,"0,24",4033653
08/2021,MMTelediarioGDL,696404,"0,33",92963
08/2021,MMTelediarioJuarez,968,"0,84",108
08/2021,MMTelediarioLaguna,15762002,"0,38",40557217
08/2021,MMTelediarioMty,31334114,"0,37",49911496
08/2021,MMTelediarioMx,2616001,"0,41",4586470
08/2021,MMTelediarioSaltillo,11889,"0,55",1781
08/2021,Multimedios_APP,526109,"0,73",99878
08/2021,Multimedios_Radio,101826,"0,89",10641
08/2021,Telediario_APP,99023,"0,74",21335
09/2021,AMP_MMTelediarioCR,119847,"0,66",20125
09/2021,APP_MMTelediarioCR,7163,"0,81",1315
09/2021,Default,106692,"0,43",47043
09/2021,MMBajio,14804,"0,41",2583
09/2021,MMCostaRica,2768,"0,08",476
09/2021,MMDigital,8673295,"0,51",10854367
09/2021,MMDigital_App,0,"0,00",10200
09/2021,MMLaguna,41238,"0,42",67758
09/2021,MMLaguna_App,8358,"0,80",1073
09/2021,MMPuebla,323227,"0,32",43341
09/2021,MMRadio,333421,"0,43",46422
